№;Название;Описание;Цена;Описание к цене;Изображение;Дополнительное изображение
;Hoya Ilagiorum;Форма роста лиана. Растение нуждается в опоре. Темп роста быстрый. Листья кожистые, ланцетовидные, с видимыми жилками, размер варьируется от 9 до 20см в длину, 3-5 см в ширину.В компактном выпуклом цветочном зонтике образуется 20-35 отдельных цветков диаметром 1,25 см,легкая в выращивании.Рекомендуется для новичков.;150;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;ilagiorum.jpg;ilagiorum.jpg
;Hoya Imperialis "Alba";Форма роста лиана/куст. Растение нуждается в опоре. Темп роста выше среднего.По внешнему виду и условиям содержания не отличается от типового вида, только цветки у нее белые с нежным зеленым оттенком.  Диаметр цветка 5-6 см. ;250;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;imperialis_alba.jpg;imperialis_alba.jpg
;Hoya Imperialis "Borneo";Форма роста лиана. Растение нуждается в опоре. Темп роста быстрый. Листья кожистые, насыщенно-зеленого цвета, с хорошо видимой центральной жилкой.Цветы  в форме звезд, имеют лиловые лепестки , диаметр цветка 5-6 см.  Цветки источают сладкий фруктовый аромат.;100;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;imperialis_borneo.jpg;imperialis_borneo.jpg
;Hoya Imperialis long leaves;Форма роста лиана. Ратсение нуждается в опоре. Темп роста быстрый. Листья продолговато-овальные, кожистые, насыщенно-зеленого цвета, с хорошо видимой центральной жилкой.Листовая пластина до 16 см длиной, 6 см шириной.Цветки в форме темно-красных звезд с молочно-белой короной. Диаметр цветка 5-6 см.;100;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;imperialis_l_l.jpg;imperialis_l_l.jpg
;Hoya Imperialis "Palawan";;-;временно нет;imperialis.jpg;imperialis_palawan.jpg
;Hoya Imperialis Red;Форма роста лиана. Растение нуждается в опоре. Темп роста быстрый. Листья продолговато-овальные, кожистые, насыщенно-зеленого цвета, с хорошо видимой центральной жилкой.Листовая пластина до 16 см длиной, 6 см шириной, матовая, гладкая или с небольшим опушением по краю. Цветы  в форме темно-красных звезд с молочно-белой короной, диаметр цветка 5-6 см. ;100;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;imperialis_red.jpg;imperialis_red.jpg
;Hoya Incrasata "Eclipse";Форма роста лиана.Растение нуждается в опоре.  Темп роста средний.  Листья ярко зелёные с бело-кремовым кантом по краю овальные, глянцевые, у основания закруглённые, на концах заострённые, 10 см длиной и до 5 см шириной. Полив проницаемый субстрат, регулярный полив без пересушки грунта. Рекомендуется для новичка;100;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;incrassata_e.jpg;incrassata_e.jpg
;Hoya Incrassata green;Форма роста лиана. Растение нуждается в опоре. Темп роста быстрый.  Листья толстые и кожистые, гладкие и блестящие, продолговато-овальные, 9-14 см длиной, 5-6 см шириной, основания листа закругленные либо немного сердцевидные, вершины заостренные. Рекомендуется новичкам.;50;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;incrassata_green.jpg;incrassata.jpg
;Hoya Incrassata "Moon Shadow";Форма роста лиана. Растение нуждается в опоре. Темп роста средний. Листья имеют жёлто-кремовую середину и зелёный кант по краю овальные, глянцевые, у основания закруглённые, на концах заострённые, 10 см длиной и до 5 см шириной. Жилки отчётливо видны.на прекрасно чувствует себя и на южных, и на западных окнах.Рекомендуется для новичков.;100;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;incrassata_m_s.jpg;incrassata.jpg
;Hoya Inflata;Форма роста лиана. Растение нуждается в опоре.  Темп роста  средний. Листья зеленые, матовые, широко-овальные с острым кончиком, с характерным жилкованием.В цветочном зонтике раскрывается 8-12 свисающих колокольчатых цветков диаметром 1,5-2см, очень похожих на цветки ландыша . Растение тепло и светолюбиво. Не терпит просушек.;350;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;inflata.jpg;inflata.jpg
;Hoya Javanica "siam smile";Форма роста куст. Темп роста быстрый. Хойя с очень красивыми вариегатными листьями, слегка волнистыми, достигающими в длину 12 см, а в ширину – 5 см. Хойя неутомимо цветёт.  Растет и может цвести круглый год. Полив обильный в любое время года, пересушка грунта не допустима. Подходит новичку.;150;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;javanica_siam_smile.jpg;javanica_siam_smile.jpg
;Hoya Kanyakumariana;Форма роста лиана/ампель. Миниатюрная хойка. Листья плотные, волнистые. Освещение без прямого солнца. Полив умеренный, опрыскивания.;-;временно нет;kanyakumariana.jpg;kanyakumariana.jpg
;Hoya Kenejiana;Форма роста лиана. Растение нуждается в опоре. Темп роста быстрый. Листья 6 – 10 см длиной и 2 – 2,8 см шириной, тёмно-зелёные, овальные.Летом выдерживает высокие температуры при условии повышенной влажности воздуха и притенении в полуденные часы.рекомендуется для новичков - довольно легко приспосабливается к различным условиям содержания.;65;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;kenejiana.jpg;kenejiana.jpg
;Hoya Kenejiana albomarginata "Thong"s Treasure";Форма роста лиана. Растение нуждается в опоре. Темп роста выше среднего. Листья 6 – 10 см длиной и 2 – 2,8 см шириной,имеютбелый кант, на разных листьях он может быть разлчной ширины.Освещение: летом и зимой яркий, рассеянный свет, от полуденного солнца нужно притенять.Полив:  к поливу нужно относиться осторожно. Следующий полив после просыхания верхнего слоя почвы. ;200;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;kenejiana_albomarginata.jpg;kenejiana.jpg
;Hoya Kenejiana  variegated  "Nugget";Форма роста лиана. Растение нуждается в опоре. Темп роста выше среднего. Листья 6 – 10 см длиной и 2 – 2,8 см шириной,имеют жёлто-кремовую середину и тёмно-зелёный кант по краю.Освещение: летом и зимой яркий, рассеянный свет, от полуденного солнца нужно притенять.Полив:  к поливу нужно относиться осторожно. Следующий полив после просыхания верхнего слоя почвы. ;250;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;kenejiana_var.jpg;kenejiana_var.jpg
;Hoya Kentiana variegated;Форма роста ампель/лиана. Темп роста медленный.Листья удлинённо-заострённые достигают 11 см длины и 1,5 см ширины,имеют жёлто-кремовый цвет с тёмно зелёным кантом по краю.пурпурно-красные цветы держатся около 3 дней и не пахнут. Полив: почва должна быть очень водопроницаемой, а саму хойю следует содержать достаточно сухо. При длительном заливе чувствительные стебельки отгнивают. Но влажность воздуха лучше поддерживать достаточно высокой, особенно в жаркие дни следует часто опрыскивать. ;550;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;kentiana_var.jpg;kentiana.jpg
;Hoya Kerrii albomarginata  ;Форма роста лиана. Растение нуждается в опоре. ;150;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;kerri_albomarginata.jpg;kerri.jpg
;Hoya Kerrii "Permanent Yellow";Форма роста лиана. Растение нуждается в опоре. Вариегатность по центру листа не зеленеет со временем.;300;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;kerrii_permanent.jpg;kerri.jpg
;Hoya Kerrii Silver Splash;Форма роста лиана. Растение нуждается в опоре.;250;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;kerri_silver_splash.jpg;kerri_silver_splash.jpg
;Hoya Kerrii Spot Margin;Форма роста лиана. Растение нуждается в опоре.;300;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;kerri_albomarginata_spot.jpg;kerri_spot.jpg
;Hoya Kerrii Yellow variegated;Форма роста лиана. Растение нуждается в опоре. ;150;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;kerrii_var.jpg;kerri.jpg
;Hoya Kerrii  "Spot Center";Форма роста лиана. Растение нуждается в опоре.;350;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;kerrii_spot_center.jpg;kerri_spot.jpg
;Hoya Kloppenburgii;Форма роста лиана. Растение нуждается в опоре.;150;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;kloppenburgii.jpg;kloppenburgii.gif
;Hoya Laconosa red leaf/splash from Lao ;;-;временно нет;laconosa_red_leaf.jpg;lacunosa.jpg
;Hoya Lacunosa ‘Black Queen’;Форма роста лиана/ампель. Темп роста средний. Листья серцведные, мелкие, около 2-3 см, насыщенного свекольного цвета, шёлковые  с виду. Нуждается в ярком освещении, возможно некоторое количество прямого солнца. Полив умеренный. Подходит новичку.;-;временно нет;pusilla.jpg;pusilla.jpg
;Hoya Lacunosa "Eskimo";Форма роста лиана/ампель. Темп роста выше среднего. Листья в форме сердечек с сильным серебрянным крапом. Довольно легко зацветает.Рекомендуется для новичков.;100;Цена указана за укоренённый черенок в 4 узла. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;lacunosa_eskimo.jpg;lacunosa_eskimo.jpg
;Hoya Lacunosa "Eskimo silver";Форма роста лиана/ампель. Темп роста выше среднего. Особенно впечатляет поразительный аромат цветков,напоминающий запах духов.Листья плотные полностью залиты серебром.;100;Цена указана за укоренённый черенок в 3 узла. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;lacunosa_eskimo_silver.jpg;lacunosa_eskimo.jpg
;Hoya Lacunosa "Langkawi" (EPC-523);Форма роста лиана/амель. Темп роста средний. Листья около 1,5 см, покрыты частым белым крапом. Полив без пересушек. ;-;временно нет;lacunosa_langkawi.jpg;lacunosa_langkawi.jpg
;Hoya Lacunosa "Royal Flush";Форма роста лиана/ампель. Темп роста средний. Маленькие, тёмно-бронзовые с великолепным серебрянным крапом, ромбовидные листья с загнутыми крами. Обратная сторона листа блестящая. Длина листьев достигает 6 см, ширина 1,5 - 2,5 см. Новый прирост имеет красно-коричневый цвет.Зацветает легко и обильно.Цветки собраны в зонтики по 15 - 20 штук. Они не выделяют нектара и держатся около 5 дней.  Подходит новичку;60;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;lacunosa_royal_flush.jpg;lacunosa_royal_flush.jpg
;Hoya Lambii;Форма роста лиана. Растение нуждается в опоре.;-;временно нет;lambii.jpg;lambii.jpg
;Hoya Lasianta;Форма роста лиана. Растение нуждается в опоре.;150;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;lasianta.jpg;lasianta.jpg
;Hoya Lauterbachii;Форма роста лиана. Растение нуждается в опоре. Темп роста быстрый. У этой хойи опушены стебли,листья и цветки,Листья овально- эллиптические,цветки огромные до 7,5 см диаметром,темно-коричневые внутри и изумрудно-зеленые с желтизной снаружи.;65;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;lauterbachii.jpg;lauterbachii.jpg
;Hoya Limoniaca;Форма роста лиана. Растение нуждается в опоре.;50;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;limoniaca.jpg;limoniaca.jpg
;Hoya Lithophytica;Форма роста лиана. Растение нуждается в опоре. Темп роста выше среднего. Листья около 3-4 см, серебристо-зелёные, сегка опушенные. Нуждается в ярком освещении, выдержвает некоторое количество прямых солнечных лучей. Зацветает в раннем возрасте, цветене обильное. Цветы белые с розовой короной, крупнее листьев! Полив без сильных просушек. Подходит новичку.;100;Цена указана за укоренённый черенок в 2 узла. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;lithophytica.jpg;lithophytica.jpg
;Hoya Lobbii splash;Форма роста лиана. Растение нуждается в опоре. Темп роста выше среднего. Листья покрыты частым светлым крапом, при хорошем освещении крап розовеет. Цветы кремовые с бордовой короной. НЕ любит пересушек. Подходит новичку.;130;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;lobbii_splash.jpg;lobbii_splash.jpg
;Hoya Lobii dark red;Форма роста куст. Растение нуждается в опоре. Темп роста быстрый. Листьями со светлыми крапинками длиной 8-11 см, шириной 2-3 см. В соцветии 15-20 цветков до 2 см диаметром с опушенными тёмно-винного цвета лепестками и внутренней темно-бордовой короной со сладковатым запахом. Рекомендуется новичкам.;75;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;lobii_d_r.jpg;lobii_d_r.jpg
;Hoya Lockii;Форма рост куст. Темп роста выше среднего. Листья несуккулентные. Освещение яркое, без прямого солнца. Полив умеренный, без просушек. Любит опрыскивания. Цветы приятно пахнут, цветение обильное.;250;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;lockii.jpg;lockii.jpg
;Hoya Longifolia Pubescens;Форма роста лиана/ампель. Темп роста средний. Можно выращивать без опоры. Полив умеренный. Освещение без прямых солнечных лучей. Подходит новичку.;-;временно нет;longifolia.jpg;longifolia.jpg
;Hoya Loyceandrewsiana;Форма роста лиана. Растение нуждается в опоре. Темп роста выше среднего. Крупные кожистые листья. На верхней стороне листьев имеются единичные белые пятна.Не только большие листья, но и цветки у этой хойи замечательны. Цветочный зонтик формирует почти идеальный круглый шар с 70 цветками, кремово-белого цвета. Цветы источают сильный сладковатый мускусный запах. Подходит новичкам.;100;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;loyceandrewsiana.jpg;loyceandrewsiana.jpg
;Hoya Lyi;Форма роста лиана/амель. Темп роста средний. Листья около 1-1,5 см, покрыты частым серебряным крапом. Полив без пересушек. ;-;временно нет;lyi.jpg;lyi.jpg
;Hoya Macgillivrayi;Форма роста лиана. Растение нуждается в опоре. Темп роста быстрый. Листья темно-зеленые, мясистые широкоовальные, глянцевые с сердцевидным основанием, длиной 7-18 см и шириной 3,5-8 см. В зонтике  4-12 цветков бурячно-винного цвета с белыми пятнами в центре. Сильно пахнут. Рекомендуется новичкам.;150;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;macgillivrayi.jpg;macgillivrayi.jpg
;Hoya Macgillivrayi_1;Форма роста лиана. Растение нуждается в опоре. Темп роста быстрый. Листья темно-зеленые, мясистые широкоовальные, глянцевые с сердцевидным основанием, длиной 7-18 см и шириной 3,5-8 см. В зонтике  4-12 цветков бурячно-винного цвета с белыми пятнами в центре. Сильно пахнут. Рекомендуется новичкам.;150;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;macgillivrayi.jpg;macgillivrayi_1.jpg
;Hoya Macrophylla Bai  Bur;новинка!;-;временно нет;macrophylla_baib_bur.jpg;macrophylla_baib_bur.jpg
;Hoya Macrophylla Pot of Gold;Форма роста лиана. Растение нуждается в опоре. Темп роста выше среднего. Большие,золотисто-жёлтые по краю с тёмно зелёным кантом, удлинённо-заострённые, блестящие, мясистые и не опушенные. Длина листьев 14 – 25 см, ширина 5 – 11 см. Красиво выявлены листовые жилки.В шаровидных зонтиках раскрывается много цветков на фиолетовых цветоносах длиной 6 – 10 см. ;170;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;macrophylla_pot_of_gold.jpg;macrophylla_pot_of_gold.jpg
;Hoya Macrophylla "Snow Queen" (Splash);Форма роста лиана. Растение нуждается в опоре. Темп роста быстрый. Большие кожистые листья почти полностью забрызганы серебром. Подходит новичкам.;100;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;macrophylla_splash.jpg;macrophylla.jpg
;Hoya Macrophylla Super Splash;Форма роста лиана. Растение нуждается в опоре.  Темп роста быстрый. Большие, тёмно-зелёные полностью залиты серебром.Быстрые темпы роста. Рекомендуем для новичков.;180;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;macrophylla_super_splash.jpg;macrophylla.jpg
;Hoya Macrophylla variegated;Форма роста лиана. Растение нуждается в опоре. Темп роста быстрый. Листья большие, темно-зеленые, заостренные, мясистые, длиной 14-25 см, шириной 5-11 см с белыми краями.В шаровидных зонтиках раскрывается много цветков на фиолетовых цветоносах. Рекомендуется для новичков.;75;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;macrophylla_var.jpg;macrophylla_var.jpg
;Hoya Mappigera;новинка! Форма роста лиана. Растение нуждается в опоре. Темп роста средний. ;450;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;mappigera.jpg;mappigera.jpg
;Hoya Megalantha white;новинка! ;-;временно нет;megalantha_white.jpg;megalantha_white.jpg
;Hoya Megalaster;Форма роста лиана. Растение нуждается в опоре. Темп роста средний. Большие темно-зеленые листья, в соцветии до 8-12 цветков винно-красного цвета до 5 см в диаметре с приятным запахом. Любт яркий свет без прямых солнечных лучей. Полив умеренный, без сильных просушек.;180;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;megalaster.jpg;megalaster.jpg
;Hoya Meliflua;Форма роста лиана. Растение нуждается в опоре. Темп роста среднй.  Листья крупные, тёмно-зелёные. В соцветии до 20 сладко пахнущих розовых цветков 1,5 см. в диаметре, с отогнутыми лепестками, коронка светло-розовая. Подходит новичку.;65;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;meliflua.jpg;meliflua.jpg
;Hoya Meliflua ssp Fraterna;Форма роста лиана. Растение нуждается в опоре. Темп роста ниже среднего. Листья у неё  суккулентные, зелёные и блестящие около 15-17см.Предпочитает очень рыхлую земляную смесь, умеренный свет, довольно обильный полив (земляной ком не должен никогда полностью высыхать) и регулярные подкормки.  Цветки не имеют запаха и собраны в полукруглые зонтики по 30 – 40 штук.;85;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;meliflua_ssp_fraterna.jpg;meliflua_ssp_fraterna.jpg
;Hoya Meredithii;Форма роста лиана. Растение нуждается в опоре. Темп роста быстрый.  Листья средней величины жёлто-зелёные, на которых отчётливо видна сеть более тёмных жилок.  Любит яркий свет и опрыскивания. Подходит новичкам.;150;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;meredithii.jpg;meredithii.jpg
;Hoya Meredithii green;Форма роста лиана. Растение нуждается в опоре. Темп роста выше среднего. Листья светло-зелёные и густо покрыты сеткой отчётливо выраженных тёмных жилок, достигающими длины до 15 см и ширины 9 см. На листья присутствуют довольно крупные серебрянные пятна.Междоузлия до 6 см длиной, коричневые и почти всегда одревесневающие. Цветки жёлто-белые.;250;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;meredithii_green.jpg;meredithii_green.jpg
;Hoya Meredithii x Crassicaulis;Форма роста лиана. Растение нуждается в опоре. Темп роста выше среднего. Листья гладкие, кожистые, овальные или продолговато-заостренные, блестящие, 8-17 см длиной, в середине листа 5-8 см шириной, основание скругленное или немного заостренное и загнутое.  Цветы ароматные, бледно-желтые с багрянисто-коричневыми кончиками лепестков. быстрорастущая хойя. Рекомендуется для новичков;120;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;meredithii_x_crassicaulis.jpg;meredithii_x_crassicaulis.jpg
;Hoya Mindorensis "Black";Форма роста лиана. Растение нуждается в опоре. Темп роста быстрый. Листья эллиптические и кожистые, 11 см в длину и 6 см в ширину. Цветки 1,6 см диаметром.Заостренные лепестки похожи на красивую звезду, которая впечатляюще смотрится в ореоле из пуха. Окраска цветов насыщено свекольного цвета с белыми ворсинками. В круглом зонтике распускается 40-50 цветков.Черенки нельзя укоренять в воде: срезанный черенок для укоренения сразу вставляется в проницаемый грунт.  Рекомендуется для начинающих любителей.;150;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;mindorensis_black.jpg;mindorensis_black.jpg
;Hoya Mindorensis "Full yellow flowers";новинка! Форма роста лиана. Растение нуждается в опоре. Темп роста быстрый. Листья эллиптические и кожистые, 11 см в длину и 6 см в ширину. Цветы тёплого, насыено жёлтого цвета. Цветки 1,6 см диаметром.Заостренные лепестки похожи на красивую звезду, которая впечатляюще смотрится в ореоле из пуха. В круглом зонтике распускается 40-50 цветков.Черенки нельзя укоренять в воде: срезанный черенок для укоренения сразу вставляется в проницаемый грунт.  Рекомендуется для начинающих любителей.;150;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;mindorensis.jpg;mindorensis_f_y.jpg
;Hoya Mindorensis "Pinkish orange flowers";Форма роста лиана. Растение нуждается в опоре. Темп роста быстрый. Листья эллиптические и кожистые, 11 см в длину и 6 см в ширину. Цветы розово-перскового цвета. Цветки 1,6 см диаметром.Заостренные лепестки похожи на красивую звезду, которая впечатляюще смотрится в ореоле из пуха. В круглом зонтике распускается 40-50 цветков.Черенки нельзя укоренять в воде: срезанный черенок для укоренения сразу вставляется в проницаемый грунт.  Рекомендуется для начинающих любителей.;100;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;mindorensis.jpg;mindorensis_p.jpg
;Hoya Mindorensis "Red";Форма роста лиана. Растение нуждается в опоре. Темп роста быстрый. Листья эллиптические и кожистые, 11 см в длину и 6 см в ширину. Цветы ярко красные, с белыми ворснками. Цветки 1,6 см диаметром.Заостренные лепестки похожи на красивую звезду, которая впечатляюще смотрится в ореоле из пуха. В круглом зонтике распускается 40-50 цветков.Черенки нельзя укоренять в воде: срезанный черенок для укоренения сразу вставляется в проницаемый грунт.  Рекомендуется для начинающих любителей.;70;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;mindorensis.jpg;mindorensis_r.gif
;Hoya Mindorensis "Yellow";Форма роста лиана. Растение нуждается в опоре. Темп роста быстрый. Листья эллиптические и кожистые, 11 см в длину и 6 см в ширину. Цветы лимонно- жёлтого цвета. Цветки 1,6 см диаметром.Заостренные лепестки похожи на красивую звезду, которая впечатляюще смотрится в ореоле из пуха. В круглом зонтике распускается 40-50 цветков.Черенки нельзя укоренять в воде: срезанный черенок для укоренения сразу вставляется в проницаемый грунт.  Рекомендуется для начинающих любителей.;100;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;mindorensis.jpg;mindorensis_y.gif
;Hoya Mirabilis clone A;Форма роста лиана. Растение нуждается в опоре. Темп роста средний. Листовая пластина кожистая, овально-ланцетовидная, 2,5-7 см длиной, 1-2,5 см шириной, края листьев слабо загнутые, поверхность шелковистая, темно-зеленая с серебрянными брызгами. У clone A более узкие листья.;75;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;mirabilis.jpg;mirabilis.jpg
;Hoya Mirabilis clone B;Форма роста ампель/лиана. Растение нуждается в опоре. Темп роста выше среднего. Листовая пластина кожистая, овально-ланцетовидная, 2,5-7 см длиной, 1-2,5 см шириной, края листьев слабо загнутые, поверхность матовая, темно-зеленая,при ярком освещении приобретают красный оттенок.В цветочном зонтике открывается 5-16 отдельных цветков, диаметром 1,5-1,7см. Расцветка лепестков венчика лимонно-зеленая.  clone B с несколько более широкими листьями и цветы немного крупнее. Рекомендуется новичку.;75;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;mirabilis_b.jpg;mirabilis.jpg
;Hoya Mitrata  malaysia;Форма роста лиана. Растение нуждается в опоре. Темп роста медленный. Листья крупные тёмно зелёные с беребрянным сплешем. Очень чувствительна к переувлажнению, поэтому для нее необходимо использовать очень рыхлую, проницаемую почву. Лучше чаще опрыскать растение чем полить. Хороший дренаж на дне горшка – обязателен.рекомендуется для начинающих любителей, но когда растение уже укорененное;130;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;mitrata_malaysia.jpg;mitrata_malaysia.jpg
;Hoya Mitrata  splash;Форма роста лиана. Растение нуждается в опоре. Темп роста ниже среднего. Листья плотны, часто покрыты серебряным крапом. Растения предпочтает высокую влажность воздуха и полв по мере просыхания.;250;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;mitrata_s.jpg;mitrata.jpg
;Hoya Mitrata perfect splash;Форма роста лиана. Растение нуждается в опоре. Темп роста ниже среднего. Листья плотные, серебристые. Растения предпочтает высокую влажность воздуха и полв по мере просыхания.;300;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;mitrata_p_s.jpg;mitrata.jpg
;Hoya Monette;Форма роста лиана. Растение нуждается в опоре. Темп роста быстрый. Листья овальные, длиной 4 - 5 см и шириной 2,5 - 3 см. Они серо-зелёные, толстые и бархатисто опушены, причём опушение более выражено на нижней стороне, нежели на верхней. Цветы очень крупные.;65;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;monette.jpg;monette.jpg
;Hoya Montana;Форма роста лиана. Растение нуждается в опоре. Темп роста быстрый. Листья эллиптические, гладкие с обеих сторон, глянцевые, по краям слегка волнистые, с острым кончиком. Обычно размер листьев 7,5-11 см длиной, 3,5-5 см шириной, но могут достигать размера 15 см длиной, 7 см шириной. В рыхлых цветочных зонтиках открывается 8 – 15 цветков диаметром около 1,3 см. Цветочный венчик золотисто-желтый, коронка также желтая. Запах слабый. Рекомендуется новичкам.;65;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;montana.jpg;montana.jpg
;Hoya Naumanii;Форма роста лиана. Растение нуждается в опоре. Темп роста быстрый. Большие темно-зеленые, плотные, кожистые листья, блестящие и не опушенные. В рыхлом цветочном зонтике раскрываются от 10 до 20 сливочно-белых, с темно-розовой, малиновой внутренней короной, около 2 см в диаметре цветков. Освещение: предпочитает яркое местоположение, с достаточным количеством прямых солнечных лучей, требует притенения. Отлично растет при искусственном освещении.Рекомендуется новичкам;75;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;naumanii.jpg;naumanii.jpg
;Hoya Obovata;Форма роста лиана. Растение нуждается в опоре. Темп роста выше среднего. Листья  толстые,мясистые,круглые покрыты редким серебряным крапом. В цветочном зонтике 20-30 пушистых нежно-розовых цветков,корона темно-розовая. Цветы приятно пахнут. Не терпит залива;65;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;obovata.jpg;obovata.jpg
